,precision,recall,f1-score,support
heart,0.5416666666666666,0.65,0.5909090909090909,20.0
oblong,0.6666666666666666,0.7,0.6829268292682927,20.0
oval,0.5555555555555556,0.5,0.5263157894736842,20.0
round,0.6111111111111112,0.5789473684210527,0.5945945945945946,19.0
square,0.6111111111111112,0.55,0.5789473684210527,20.0
accuracy,0.5959595959595959,0.5959595959595959,0.5959595959595959,0.5959595959595959
macro avg,0.5972222222222222,0.5957894736842105,0.594738734533343,99.0
weighted avg,0.5970819304152637,0.5959595959595959,0.5947401904923203,99.0
