,precision,recall,f1-score,support
heart,0.36363636363636365,0.4,0.38095238095238093,20.0
oblong,0.625,0.5,0.5555555555555556,20.0
oval,0.38095238095238093,0.4,0.3902439024390244,20.0
round,0.4117647058823529,0.3684210526315789,0.3888888888888889,19.0
square,0.6086956521739131,0.7,0.6511627906976745,20.0
accuracy,0.47474747474747475,0.47474747474747475,0.47474747474747475,0.47474747474747475
macro avg,0.4780098205290021,0.47368421052631576,0.4733607037067049,99.0
weighted avg,0.4786789631011905,0.47474747474747475,0.4742139543614302,99.0
