feature,importance
geom_jaw_angle,0.0595534419687199
geom_cheekbone_to_height,0.049242664913896735
geom_jaw_width_to_height,0.03464148601499988
geom_chin_to_jaw,0.02880194284084877
geom_forehead_to_height,0.02215601525958667
geom_jaw_curve_right_to_height,0.014963594497778258
lm_y_58,0.014778046700853286
lm_y_30,0.013377934409786565
lm_y_29,0.012840062179509774
lm_y_57,0.012212578824768444
lm_y_66,0.01185118682154831
lm_y_28,0.011703471240458119
lm_y_39,0.011566046813741595
lm_y_22,0.011021155391128577
lm_y_21,0.011002820132692513
