,precision,recall,f1-score,support
heart,0.5909090909090909,0.65,0.6190476190476191,20.0
oblong,0.6521739130434783,0.75,0.6976744186046512,20.0
oval,0.47368421052631576,0.45,0.46153846153846156,20.0
round,0.6666666666666666,0.5263157894736842,0.5882352941176471,19.0
square,0.75,0.75,0.75,20.0
accuracy,0.6262626262626263,0.6262626262626263,0.6262626262626263,0.6262626262626263
macro avg,0.6266867762291104,0.6252631578947369,0.6232991586616758,99.0
weighted avg,0.6262829389519633,0.6262626262626263,0.6236533391116156,99.0
