,precision,recall,f1-score,support
heart,0.6363636363636364,0.7,0.6666666666666666,20.0
oblong,0.7,0.7,0.7,20.0
oval,0.6666666666666666,0.4,0.5,20.0
round,0.4782608695652174,0.5789473684210527,0.5238095238095238,19.0
square,0.5909090909090909,0.65,0.6190476190476191,20.0
accuracy,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061
macro avg,0.6144400527009222,0.6057894736842104,0.6019047619047619,99.0
weighted avg,0.6158156000053234,0.6060606060606061,0.6026936026936026,99.0
